label,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round,freq
k,-,-,+,+,0,0,0,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,496
p,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,447
t,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-,415
b,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,393
ɡ,-,-,+,+,0,0,0,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,362
d,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,-,320
tʃ,-,-,-,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,-,219
dʒ,-,-,-,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,+,-,147
ts,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,-,125
t̪,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,109
c,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,87
d̪,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,0,-,-,-,-,+,+,-,87
kʷ,-,+,+,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,+,83
pʰ,+,+,-,-,0,0,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,75
kʰ,-,-,+,+,0,0,0,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,72
ɟ,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,+,-,69
tʰ,+,-,-,-,0,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,65
dz,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,+,-,+,+,-,60
kʼ,-,-,+,+,0,0,0,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,59
ʈ,-,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,55
ɓ,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,0,+,-,-,-,+,+,-,53
k͡p,+,+,+,+,0,0,0,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,52
ᵐb,+,+,-,-,0,0,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,52
ɖ,-,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,+,-,52
ɡ͡b,+,+,+,+,0,0,0,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,51
pʼ,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,50
ᵑɡ,-,-,+,+,0,0,0,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,48
q,-,-,+,-,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,47
ⁿd,+,-,-,-,0,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,47
ɡʷ,-,+,+,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,+,+,45
ɗ,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,+,-,-,-,+,+,-,45
tʃʼ,-,-,-,+,0,-,+,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-,45
tʼ,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,44
tʃʰ,-,-,-,+,0,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,-,36
tsʼ,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-,33
tsʰ,+,-,-,-,0,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,-,30
qʼ,-,-,+,-,0,0,0,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,25
t̪ʰ,+,-,-,-,0,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,22
t̪ʼ,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,21
kʼʷ,-,+,+,+,0,0,0,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,+,19
kʲ,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,18
ʈʰ,-,-,-,-,0,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,18
qʷ,-,+,+,-,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,+,17
ɡʰ,-,-,+,+,0,0,0,-,+,-,-,-,-,-,-,+,-,-,-,-,+,+,-,16
tʲ,+,-,-,+,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,16
dʲ,+,-,-,+,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,+,-,16
bʰ,+,+,-,-,0,0,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,+,-,16
ⁿdʒ,-,-,-,+,0,-,+,-,-,-,-,-,+,-,+,-,-,-,+,-,+,+,-,14
tɬʼ,+,-,-,-,0,+,0,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,13
ɖʰ,-,-,-,-,0,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,+,-,13
tɬ,+,-,-,-,0,+,0,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,12
ⁿdz,+,-,-,-,0,-,-,-,-,-,-,-,+,-,+,-,-,-,+,-,+,+,-,11
t̪s̪,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,-,11
qʼʷ,-,+,+,-,0,0,0,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,+,11
ʄ,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,0,+,-,-,-,+,+,-,11
cʰ,-,-,-,+,0,0,0,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,11
ⁿɟ,-,-,-,+,0,0,0,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,11
ɡʲ,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,+,-,10
pʲ,+,+,-,+,0,0,+,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,10
dʒʰ,-,-,-,+,0,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,+,+,-,10
cç,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,10
pʷ,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,+,9
ʈʂ,-,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,-,9
qʰ,-,-,+,-,0,0,0,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,9
bʷ,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,0,-,-,-,-,+,+,+,9
dʰ,+,-,-,-,0,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,+,-,8
pf,+,+,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,8
d̪ʰ,+,-,-,-,0,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,+,+,-,8
bʲ,+,+,-,+,0,0,+,-,-,-,-,-,-,-,-,0,-,-,-,-,+,+,-,8
cʼ,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,8
ɟʝ,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,+,-,7
ᵑɡʷ,-,+,+,+,0,0,0,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,+,7
ᵐp,+,+,-,-,0,0,+,-,-,-,-,-,+,-,-,0,-,-,-,-,+,-,-,7
ɢ,-,-,+,-,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,+,-,7
ɠ,-,-,+,+,0,0,0,-,-,-,-,-,-,-,-,0,+,-,-,-,+,+,-,7
ᵑk,-,-,+,+,0,0,0,-,-,-,-,-,+,-,-,0,-,-,-,-,+,-,-,7
ⁿd̪,+,-,-,-,0,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,7
d̪ʲ,+,-,-,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,-,-,+,+,-,7
bv,+,+,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,6
dl,+,-,-,-,0,+,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,+,-,6
ⁿt,+,-,-,-,0,-,-,-,-,-,-,-,+,-,+,0,-,-,-,-,+,-,-,6
d̪z̪,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,+,-,6
ǀ,+,-,+,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,6
kʰʷ,-,+,+,+,0,0,0,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,+,6
k̂͡p̂,+,+,+,+,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,5
kː,-,-,+,+,0,0,0,+,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,5
t̪ʲ,+,-,-,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,5
tˤ,+,-,+,-,0,-,-,-,-,+,-,-,-,-,+,0,-,-,-,-,+,-,-,5
ǃ,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,5
tlʼ,+,-,-,-,0,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,5
cɕ,-,-,-,+,0,-,+,-,-,-,-,-,-,-,0,0,-,-,-,-,+,-,-,4
cɕʰ,-,-,-,+,0,-,+,-,+,-,-,-,-,-,0,+,-,-,-,-,+,-,-,4
ɡ̂͡b̂,+,+,+,+,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,4
nǀ,+,-,+,+,0,-,+,-,-,-,-,-,+,-,+,0,-,-,-,-,+,-,-,4
dʷ,+,+,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,+,+,4
ⁿtʃ,-,-,-,+,0,-,+,-,-,-,-,-,+,-,+,0,-,-,+,-,+,-,-,4
ǃʰ,+,-,+,+,0,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,4
tʷ,+,+,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,+,4
ǁ,+,-,+,+,0,+,0,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,4
ǀʰ,+,-,+,+,0,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,4
ɡǀ,+,-,+,+,0,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,4
ɡ̂,-,-,+,+,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,4
ᵑɡ͡b,+,+,+,+,0,0,0,-,-,-,-,-,+,-,-,0,-,-,-,-,+,+,-,4
t̪ˤ,+,-,+,-,0,-,+,-,-,+,-,-,-,-,+,0,-,-,-,-,+,-,-,4
tθʼ,+,-,-,-,0,-,0,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,4
ʈʂʼ,-,-,-,-,0,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-,4
kʷʼ,-,+,+,+,0,0,0,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,+,4
k̂,-,-,+,+,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,4
tsʲ,+,-,-,+,0,-,-,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,-,4
tl,+,-,-,-,0,+,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,3
kxʰ,-,-,+,+,0,0,0,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,3
kxʼ,-,-,+,+,0,0,0,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,3
tɕ,-,-,-,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,-,3
ǁʰ,+,-,+,+,0,+,0,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,3
nǁ,+,-,+,+,0,+,0,-,-,-,-,-,+,-,+,0,-,-,-,-,+,-,-,3
nǃ,+,-,+,+,0,-,-,-,-,-,-,-,+,-,+,0,-,-,-,-,+,-,-,3
ⁿts,+,-,-,-,0,-,-,-,-,-,-,-,+,-,+,0,-,-,+,-,+,-,-,3
dzʷ,+,+,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,+,-,+,+,+,3
tʃʷ,-,+,-,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,+,3
pː,+,+,-,-,0,0,+,+,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,3
tː,+,-,-,-,0,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,3
t̂,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,3
ɡǃ,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,3
ɡǁ,+,-,+,+,0,+,0,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,3
ǂ,-,-,+,+,0,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,3
d̂,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,3
ɓʷ,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,0,+,-,-,-,+,+,+,3
ʈʂʰ,-,-,-,-,0,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,-,3
kʼʲ,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,3
tsʷ,+,+,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,+,3
ⁿdl,+,-,-,-,0,+,-,-,-,-,-,-,+,-,+,0,-,-,-,-,+,+,-,2
bˤ,+,+,+,-,0,0,+,-,-,+,-,-,-,-,-,0,-,-,-,-,+,+,-,2
ɗʷ,+,+,-,-,0,-,-,-,-,-,-,-,-,-,+,0,+,-,-,-,+,+,+,2
d̪ˤ,+,-,+,-,0,-,+,-,-,+,-,-,-,-,+,0,-,-,-,-,+,+,-,2
ɟʰ,-,-,-,+,0,0,0,-,+,-,-,-,-,-,-,+,-,-,-,-,+,+,-,2
ᵑᵐɡ͡b,+,+,+,+,0,0,0,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,2
ⁿc,-,-,-,+,0,0,0,-,-,-,-,-,+,-,-,0,-,-,-,-,+,-,-,2
qʰʷ,-,+,+,-,0,0,0,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,+,2
pʲʰ,+,+,-,+,0,0,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,2
b̂,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,2
b͡ɡ,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,+,-,2
ɖʐ,-,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,+,-,+,+,-,2
ɗ̪,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,0,+,-,-,-,+,+,-,2
tʼʷ,+,+,-,-,0,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,+,2
ǃn,+,-,+,+,0,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,2
ⁿɖ,-,-,-,-,0,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,2
qː,-,-,+,-,0,0,0,+,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,2
qˤ,-,-,+,-,0,0,0,-,-,+,-,-,-,-,-,0,-,-,-,-,+,-,-,2
nɡǀ,+,-,+,+,0,-,+,-,-,-,-,-,+,-,+,0,-,-,-,-,+,+,-,2
tʰʷ,+,+,-,-,0,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,+,2
dzʲ,+,-,-,+,0,-,-,-,-,-,-,-,-,-,+,0,-,-,+,-,+,+,-,2
dʑ,-,-,-,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,+,-,2
t̪s̪ʼ,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-,2
tʃʲ,-,-,-,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,-,2
d̻ʑ,-,-,-,0,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,+,-,2
pˤ,+,+,+,-,0,0,+,-,-,+,-,-,-,-,-,0,-,-,-,-,+,-,-,2
ʘ,+,+,+,+,0,0,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,2
ᵐbʷ,+,+,-,-,0,0,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,+,2
tɬʰ,+,-,-,-,0,+,0,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,2
ɡǂ,-,-,+,+,0,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,2
d̻,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,0,-,-,-,-,+,+,-,2
t̻ɕʼ,-,-,-,0,0,-,+,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-,2
pʃʰ,-,-,-,0,0,-,+,-,+,-,-,-,-,-,0,+,-,-,+,-,+,-,-,2
ʔd,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,+,-,2
ʔb,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-,2
ǂʰ,-,-,+,+,0,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,2
dˤ,+,-,+,-,0,-,-,-,-,+,-,-,-,-,+,0,-,-,-,-,+,+,-,2
t̪ː,+,-,-,-,0,-,+,+,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,2
kʰʲ,-,-,-,+,0,0,0,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,2
bʼ,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-,2
pfʰ,+,+,-,-,0,0,-,-,+,-,-,-,-,-,-,+,-,-,+,-,+,-,-,2
tç,-,-,-,0,0,-,0,-,-,-,-,-,-,-,0,0,-,-,-,-,+,-,-,2
tlʰ,+,-,-,-,0,+,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,2
tsʼʷ,+,+,-,-,0,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,+,2
k̀,-,-,+,+,0,0,0,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,2
t̻ɕ,-,-,-,0,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,-,2
cçʰ,-,-,-,+,0,0,0,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,2
cçʼ,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,2
ǀkxʔ,+,-,+,+,0,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,1
bː,+,+,-,-,0,0,+,+,-,-,-,-,-,-,-,0,-,-,-,-,+,+,-,1
ɠ͡ɓ,+,+,+,+,0,0,0,-,-,-,-,-,-,-,-,0,+,-,-,-,+,+,-,1
tz,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,-,1
bˡ,+,+,-,-,0,+,+,-,-,-,-,-,-,-,-,0,-,-,-,-,+,+,-,1
tx,0,-,0,0,0,-,0,-,-,0,-,-,-,-,0,-,-,-,-,-,+,-,-,1
tr,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
dːʒ,-,-,-,+,0,-,+,+,-,-,-,-,-,-,+,-,-,-,+,-,+,+,-,1
c,-,-,-,+,0,0,0,-,-,-,-,-,+,-,-,0,-,-,-,-,+,-,-,1
dð,+,-,-,-,0,-,0,-,-,-,-,-,-,-,+,0,-,-,-,-,+,+,-,1
mǃG,+,-,+,+,0,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,1
pʷʼ,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,+,1
ɗʒ,-,-,-,+,0,-,+,-,-,-,-,-,-,-,+,+,+,-,+,-,+,+,-,1
ǂkxʔ,-,-,+,+,0,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,1
ɡǀʰ,+,-,+,+,0,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,+,+,-,1
ʈⁿ,-,-,-,-,0,-,-,-,-,-,-,-,+,-,+,0,-,-,-,-,+,-,-,1
ᵐdʒ,-,-,-,+,0,-,+,-,-,-,-,-,+,-,+,-,-,-,+,-,+,+,-,1
d̪ː,+,-,-,-,0,-,+,+,-,-,-,-,-,-,+,0,-,-,-,-,+,+,-,1
ɲ̥cʃ,-,-,-,+,0,-,+,-,-,-,-,-,0,-,0,0,-,-,+,-,+,-,-,1
t̪ˤː,+,-,+,-,0,-,+,+,-,+,-,-,-,-,+,0,-,-,-,-,+,-,-,1
ɟʑ,-,-,-,+,0,-,+,-,-,-,-,-,-,-,0,0,-,-,-,-,+,+,-,1
ɟʷ,-,+,-,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,+,+,1
nd̥,+,-,-,-,0,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,1
kˤ,-,-,+,+,0,0,0,-,-,+,-,-,-,-,-,0,-,-,-,-,+,-,-,1
dʑɥ,-,+,-,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,+,+,1
mǀG,+,-,+,+,0,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,1
ǀx,+,-,+,+,0,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,1
ʔʘn,+,-,+,+,0,-,-,-,-,-,-,-,+,-,+,+,+,-,-,-,+,-,-,1
ǀq,+,-,+,+,0,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,1
ǀn,+,-,+,+,0,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,1
dzʼkxʼ,+,-,0,0,0,-,0,-,-,-,-,-,-,-,0,+,+,-,0,-,+,0,-,1
ᵐɡ͡b,+,+,+,+,0,0,0,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,1
b̥,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,1
ⁿdɮ,+,-,-,-,0,+,0,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,1
ɖ˞,-,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,+,-,-,-,+,-,-,1
tʃ̀,-,-,-,+,0,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,-,1
ᵐts,+,-,-,-,0,-,-,-,-,-,-,-,+,-,+,0,-,-,+,-,+,-,-,1
b̏,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,+,-,1
qʼʲ,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,1
ts̀,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,-,-,1
ǃqʰ,+,-,+,+,0,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,+,-,-,1
ɡǃʰ,+,-,+,+,0,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,+,-,1
ⁿdβ,+,0,-,-,0,-,0,-,-,-,-,-,+,-,0,-,-,-,-,-,+,+,-,1
t̪s̪ː,+,-,-,-,0,-,+,+,-,-,-,-,-,-,+,0,-,-,+,-,+,-,-,1
ʃ͡kʷ,-,+,0,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,+,1
b͡tʃ,-,-,-,0,0,-,0,-,-,-,-,-,-,-,0,0,-,-,+,-,+,0,-,1
ǃqʔ,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,1
k̀ʷ,-,+,+,+,0,0,0,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,+,1
