label,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round,freq
ǁqʔ,+,-,+,+,0,+,0,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,1
tʂʼ,-,-,0,0,0,0,-,-,-,0,-,-,-,-,+,+,+,-,+,-,+,-,-,1
ʔǂn,-,-,+,+,0,-,+,-,-,-,-,-,+,-,+,+,+,-,-,-,+,-,-,1
ⁿtʃʼ,-,-,-,+,0,-,+,-,-,-,-,-,+,-,+,+,+,-,+,-,+,-,-,1
ǁqʰ,+,-,+,+,0,+,0,-,+,-,-,-,-,-,+,-,-,-,-,-,+,-,-,1
d̪z̪ʷ,+,+,-,-,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,+,+,1
b͡dʒ,-,-,-,0,0,-,0,-,-,-,-,-,-,-,0,0,-,-,+,-,+,+,-,1
ʘn̥,+,+,+,+,0,0,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,1
p͡k,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,1
kʷː,-,+,+,+,0,0,0,+,-,-,-,-,-,-,-,0,-,-,-,-,+,-,+,1
p͡t,+,0,-,-,0,-,0,-,-,-,-,-,-,-,0,0,-,-,-,-,+,-,-,1
ǁʔ,+,-,+,+,0,+,0,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,1
b͡dz,+,0,-,-,0,-,0,-,-,-,-,-,-,-,0,0,-,-,+,-,+,+,-,1
dx,0,-,0,0,0,-,0,-,-,0,-,-,-,-,0,-,-,-,-,-,+,0,-,1
tsjʰ,+,-,-,+,0,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,-,1
ⁿtɬ,+,-,-,-,0,+,0,-,-,-,-,-,+,-,+,0,-,-,-,-,+,-,-,1
ⁿtɸ,+,0,-,-,0,-,0,-,-,-,-,-,+,-,0,0,-,-,-,-,+,-,-,1
klʼ,-,-,+,+,0,+,0,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,1
pɸ,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,1
tsx,+,-,0,0,0,-,0,-,-,0,-,-,-,-,0,-,-,-,0,-,+,-,-,1
tʃʰʷ,-,+,-,+,0,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+,1
ɡǂʰ,-,-,+,+,0,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,+,+,-,1
ɡǂx,-,-,+,+,0,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,1
ⁿdʲ,+,-,-,+,0,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,1
ɓ̥,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,0,+,-,-,-,+,-,-,1
ɟ̥,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,1
tɕɥ,-,+,-,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,+,1
tθ,+,-,-,-,0,-,0,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
d̪z̪ʲ,+,-,-,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,+,-,1
ɡʘ,+,+,+,+,0,0,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,1
t̻s̻,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,-,1
d̪ˤː,+,-,+,-,0,-,+,+,-,+,-,-,-,-,+,0,-,-,-,-,+,+,-,1
d̪ð,+,-,-,-,0,-,0,-,-,-,-,-,-,-,+,0,-,-,-,-,+,+,-,1
nǂ,-,-,+,+,0,-,+,-,-,-,-,-,+,-,+,0,-,-,-,-,+,-,-,1
tʃ͡kʷ,-,+,0,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,+,1
ǂn̥,-,-,+,+,0,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,1
dʼkxʼ,+,-,0,0,0,-,0,-,-,-,-,-,-,-,0,+,+,-,0,-,+,0,-,1
k͡pʲ,+,+,+,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,1
k͡pʷ,+,+,+,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,+,1
tçʰ,-,-,-,0,0,-,0,-,+,-,-,-,-,-,0,+,-,-,-,-,+,-,-,1
ǃkxʔ,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,1
b͡ɗ,+,0,-,-,0,-,0,-,-,-,-,-,-,-,0,+,+,-,+,-,+,+,-,1
t̪ʃ,0,-,-,0,0,-,+,-,-,-,-,-,-,-,0,0,-,-,+,-,+,-,-,1
ɢˤ,-,-,+,-,0,0,0,-,-,+,-,-,-,-,-,0,-,-,-,-,+,+,-,1
dʒ͡ɣʷ,-,+,0,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,0,-,+,+,+,1
s͡kʷ,+,+,0,0,0,-,0,-,-,-,-,-,-,-,0,0,-,-,-,-,+,-,+,1
ⁿtʰ,+,-,-,-,0,-,-,-,+,-,-,-,+,-,+,+,-,-,-,-,+,-,-,1
ɖʲ,-,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,+,-,1
ǃʔ,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,1
ǃʒ,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
dβ,+,0,-,-,0,-,0,-,-,-,-,-,-,-,0,0,-,-,-,-,+,+,-,1
ǃʃ,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
ǃd,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
ǃq,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,1
ǃs,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
ǃr,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
ɡʘʰ,+,+,+,+,0,0,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,+,-,1
ǃt,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
ǃx,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,1
ǃz,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
t̪θ,+,-,-,-,0,-,0,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
mǁG,+,-,+,+,0,+,0,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,1
tʂ,-,-,0,0,0,0,-,-,-,0,-,-,-,-,+,0,-,-,+,-,+,-,-,1
ɠʲ,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,0,+,-,-,-,+,+,-,1
ǂqʔ,-,-,+,+,0,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,1
tːʃ,-,-,-,+,0,-,+,+,-,-,-,-,-,-,+,-,-,-,+,-,+,-,-,1
ʘqʰ,+,+,+,+,0,0,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,1
ⁿdlʼ,+,-,-,-,0,+,-,-,-,-,-,-,+,-,+,+,+,-,-,-,+,+,-,1
kf,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,0,-,-,+,-,+,-,-,1
ɡ͡ɓ,+,+,+,+,0,0,0,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,-,1
ʄ̥,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,0,+,-,-,-,+,-,-,1
tɕʰ,-,-,-,+,0,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,-,1
tʱ,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
t̪s̪ʰ,+,-,-,-,0,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,-,1
ʘqʔ,+,+,+,+,0,0,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,1
pʱ,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,1
dʝ,-,-,-,0,0,-,0,-,-,-,-,-,-,-,0,0,-,-,-,-,+,+,-,1
ɡǁx,+,-,+,+,0,+,0,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,1
ʈɽ,-,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
d̻ʒ̻,-,-,-,0,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,+,-,1
nɡǁ,+,-,+,+,0,+,0,-,-,-,-,-,+,-,+,0,-,-,-,-,+,+,-,1
nɡǂ,-,-,+,+,0,-,+,-,-,-,-,-,+,-,+,0,-,-,-,-,+,+,-,1
nɡǃ,+,-,+,+,0,-,-,-,-,-,-,-,+,-,+,0,-,-,-,-,+,+,-,1
mʘG,+,+,+,+,0,0,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,1
ᵐt,+,-,-,-,0,-,-,-,-,-,-,-,+,-,+,0,-,-,-,-,+,-,-,1
tːʃː,-,-,-,+,0,-,+,+,-,-,-,-,-,-,+,0,-,-,+,+,+,-,-,1
tʃʷʼ,-,+,-,+,0,-,+,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,+,1
ᵐd,+,-,-,-,0,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,1
ɡʘkx,+,+,+,+,0,0,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,1
dzʼ,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,+,-,1
dzʰ,+,-,-,-,0,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,+,-,1
ʔǁn,+,-,+,+,0,+,0,-,-,-,-,-,+,-,+,+,+,-,-,-,+,-,-,1
tsʼkxʼ,+,-,0,0,0,-,0,-,-,-,-,-,-,-,0,+,+,-,0,-,+,-,-,1
dʼ,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,+,-,1
dʒ͡ɡ,-,-,0,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,+,-,1
dʐ,-,-,0,0,0,0,-,-,-,0,-,-,-,-,+,0,-,-,+,-,+,+,-,1
t̪s̪ʱ,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,-,1
tʃʱ,-,-,-,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,-,1
t̪ʷ,+,+,-,-,0,-,+,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,+,1
tⁿ,+,-,-,-,0,-,-,-,-,-,-,-,+,-,+,0,-,-,-,-,+,-,-,1
ⁿǀ,+,-,+,+,0,-,+,-,-,-,-,-,+,-,+,0,-,-,-,-,+,-,-,1
ɡˤ,-,-,+,+,0,0,0,-,-,+,-,-,-,-,-,0,-,-,-,-,+,+,-,1
ǀʔ,+,-,+,+,0,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,1
ɡkx’,-,-,+,+,0,0,0,-,-,-,-,-,-,-,-,+,+,-,-,-,+,0,-,1
tʼkxʼ,+,-,0,0,0,-,0,-,-,-,-,-,-,-,0,+,+,-,0,-,+,-,-,1
ɡː,-,-,+,+,0,0,0,+,-,-,-,-,-,-,-,0,-,-,-,-,+,+,-,1
ɡ̥,-,-,+,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,1
mb̥,+,+,-,-,0,0,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,1
ᵐdz,+,-,-,-,0,-,-,-,-,-,-,-,+,-,+,-,-,-,+,-,+,+,-,1
qχ,-,-,+,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,1
ʘq,+,+,+,+,0,0,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,1
ps,+,0,-,-,0,-,0,-,-,-,-,-,-,-,0,0,-,-,+,-,+,-,-,1
pv,+,+,-,-,0,0,-,-,-,-,-,-,-,-,-,0,-,-,+,-,+,-,-,1
tˠ,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
ʘx,+,+,+,+,0,0,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,1
pˠ,+,+,+,+,0,0,+,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,1
pˡ,+,+,-,-,0,+,+,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,1
ɡǃkx,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,1
ʘn,+,+,+,+,0,0,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,1
ʛ,-,-,+,-,0,0,0,-,-,-,-,-,-,-,-,0,+,-,-,-,+,+,-,1
dʒʷ,-,+,-,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,+,+,1
ɡʘx,+,+,+,+,0,0,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,1
b͡ʝ,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,+,-,1
qʷː,-,+,+,-,0,0,0,+,-,-,-,-,-,-,-,0,-,-,-,-,+,-,+,1
d̪ʒ,0,-,-,0,0,-,+,-,-,-,-,-,-,-,0,0,-,-,+,-,+,+,-,1
ʈʲ,-,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
ᵐpʼ,+,+,-,-,0,0,+,-,-,-,-,-,+,-,-,+,+,-,-,-,+,-,-,1
p*,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,1
ʈʲʰ,-,-,-,+,0,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,1
ᵐpʰ,+,+,-,-,0,0,+,-,+,-,-,-,+,-,-,+,-,-,-,-,+,-,-,1
ɡǃx,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,1
b͡d,+,0,-,-,0,-,0,-,-,-,-,-,-,-,0,0,-,-,-,-,+,+,-,1
mǂG,-,-,+,+,0,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,1
ts͡kʷ,+,+,0,0,0,-,0,-,-,-,-,-,-,-,0,0,-,-,+,-,+,-,+,1
ᵐbʲ,+,+,-,+,0,0,+,-,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,1
ɡ͡bʲ,+,+,+,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,+,-,1
ɡ͡bʷ,+,+,+,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,+,+,1
bɮ,+,0,-,-,0,+,0,-,-,-,-,-,-,-,0,0,-,-,-,-,+,+,-,1
pᵐ,+,+,-,-,0,0,+,-,-,-,-,-,+,-,-,0,-,-,-,-,+,-,-,1
n̪t̪ʼ,+,-,-,-,0,-,+,-,-,-,-,-,+,-,+,+,+,-,-,-,+,-,-,1
cˤ,-,-,+,+,0,0,0,-,-,+,-,-,-,-,-,0,-,-,-,-,+,-,-,1
pʰʷ,+,+,-,-,0,0,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,+,1
qˤʼ,-,-,+,-,0,0,0,-,-,+,-,-,-,-,-,+,+,-,-,-,+,-,-,1
qˤʷ,-,+,+,-,0,0,0,-,-,+,-,-,-,-,-,+,-,-,-,-,+,-,+,1
ᵑkxʼ,-,-,+,+,0,0,0,-,-,-,-,-,+,-,-,+,+,-,-,-,+,-,-,1
ǁkxʔ,+,-,+,+,0,+,0,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,1
dzɣw,+,0,0,0,0,-,0,-,-,-,-,-,-,-,0,0,-,-,0,-,+,+,+,1
t̪ⁿ,+,-,-,-,0,-,+,-,-,-,-,-,+,-,+,0,-,-,-,-,+,-,-,1
d̥,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
ʔǀn,+,-,+,+,0,-,+,-,-,-,-,-,+,-,+,+,+,-,-,-,+,-,-,1
ǁn̥,+,-,+,+,0,+,0,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,1
t̻ɕʰ,-,-,-,0,0,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,-,1
tswʰ,+,+,-,-,0,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+,1
ᵑc,-,-,-,+,0,0,0,-,-,-,-,-,+,-,-,0,-,-,-,-,+,-,-,1
ᵑb,+,+,-,-,0,0,+,-,-,-,-,-,+,-,-,+,-,-,-,-,+,+,-,1
t̻ʃ̻,-,-,-,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,-,1
ɓ̥ˠ,+,+,+,+,0,0,+,-,-,-,-,-,-,-,-,0,+,-,-,-,+,-,-,1
nkǀ,+,-,+,+,0,-,+,-,-,-,-,-,0,-,+,0,-,-,-,-,+,-,-,1
ʔt,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,1
nkǃ,+,-,+,+,0,-,-,-,-,-,-,-,+,-,+,0,-,-,-,-,+,-,-,1
d̏,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,-,1
ʔp,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,1
ǀn̥,+,-,+,+,0,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,1
qʼˤʷ,-,+,+,-,0,0,0,-,-,+,-,-,-,-,-,+,+,-,-,-,+,-,+,1
ʔk,-,-,+,+,0,0,0,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,1
pʃʼ,-,-,-,0,0,-,+,-,-,-,-,-,-,-,0,+,+,-,+,-,+,-,-,1
t̪s̪ʰʷ,+,+,-,-,0,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+,1
t̪͡k,0,-,0,0,0,-,0,-,-,-,-,-,-,-,0,0,-,-,-,-,+,-,-,1
ʘʔ,+,+,+,+,0,0,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,1
ɡǁʰ,+,-,+,+,0,+,0,-,+,-,-,-,-,-,+,+,-,-,-,-,+,+,-,1
t̪͡c,0,-,-,0,0,-,+,-,-,-,-,-,-,-,0,0,-,-,-,-,+,-,-,1
tzʼ,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,+,-,-,1
ǂn,-,-,+,+,0,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,1
ɳɖɽ,-,-,-,-,0,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,1
kᵑ,-,-,+,+,0,0,0,-,-,-,-,-,+,-,-,0,-,-,-,-,+,-,-,1
tɸʰ,+,0,-,-,0,-,0,-,+,-,-,-,-,-,0,+,-,-,-,-,+,-,-,1
ǂq,-,-,+,+,0,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,1
qʲ,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,-,1
ʘʰ,+,+,+,+,0,0,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,1
ǂx,-,-,+,+,0,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,1
b͡ç,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,0,-,1
ɠʷ,-,+,+,+,0,0,0,-,-,-,-,-,-,-,-,0,+,-,-,-,+,+,+,1
b*,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,1
dɣw,0,+,0,0,0,-,0,-,-,-,-,-,-,-,0,0,-,-,-,-,+,+,+,1
c̀ɕ,-,-,-,+,0,-,+,-,-,-,-,-,-,-,0,+,-,-,-,-,+,-,-,1
n̪t̪,+,-,-,-,0,-,+,-,-,-,-,-,+,-,+,0,-,-,-,-,+,-,-,1
ɖɽ,-,-,-,-,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,+,-,1
tsʰʷ,+,+,-,-,0,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,+,-,+,1
ⁿtsʼ,+,-,-,-,0,-,-,-,-,-,-,-,+,-,+,+,+,-,+,-,+,-,-,1
ǂʔ,-,-,+,+,0,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,1
ɡǂkx,-,-,+,+,0,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,1
lǃ,+,-,+,+,0,+,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,+,-,1
ɡǀx,+,-,+,+,0,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,1
bʒ,-,-,-,0,0,-,+,-,-,-,-,-,-,-,0,0,-,-,+,-,+,+,-,1
dˠ,+,-,+,+,0,-,-,-,-,-,-,-,-,-,+,0,-,-,-,-,+,+,-,1
bz,+,0,-,-,0,-,0,-,-,-,-,-,-,-,0,0,-,-,+,-,+,+,-,1
ǃn̥,+,-,+,+,0,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,-,1
dzx,+,-,0,0,0,-,0,-,-,-,-,-,-,-,0,-,-,-,0,-,+,0,-,1
ᵐk͡p,+,+,+,+,0,0,0,-,-,-,-,-,+,-,-,0,-,-,-,-,+,-,-,1
t̪̀,+,-,-,-,0,-,+,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-,1
ɡʷː,-,+,+,+,0,0,0,+,-,-,-,-,-,-,-,0,-,-,-,-,+,+,+,1
cʷ,-,+,-,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,+,1
p͡kʰ,+,+,+,+,0,0,0,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,1
ᵐtʃ,-,-,-,+,0,-,+,-,-,-,-,-,+,-,+,0,-,-,+,-,+,-,-,1
cʃ,-,-,-,+,0,-,+,-,-,-,-,-,-,-,0,0,-,-,+,-,+,-,-,1
ɡǁkx,+,-,+,+,0,+,0,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,1
t̀,+,-,-,-,0,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,-,1
ᵑɡ̥,-,-,+,+,0,0,0,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,1
ǁx,+,-,+,+,0,+,0,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,1
ʘkxʔ,+,+,+,+,0,0,+,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,-,1
ǁq,+,-,+,+,0,+,0,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,1
ǁn,+,-,+,+,0,+,0,-,-,-,-,-,+,-,+,-,-,-,-,-,+,+,-,1
ɠ̥,-,-,+,+,0,0,0,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,1
p̀,+,+,-,-,0,0,+,-,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,1
t̺s̺ʲ,+,-,-,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,-,-,1
ɡǀkx,+,-,+,+,0,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,1
p͡ts,+,0,-,-,0,-,0,-,-,-,-,-,-,-,0,0,-,-,+,-,+,-,-,1
tʲʼ,+,-,-,+,0,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,1
qʷʼ,-,+,+,-,0,0,0,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,+,1
tʲʰ,+,-,-,+,0,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,+,-,-,1
ǀqʰ,+,-,+,+,0,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,+,-,-,1
ʃtʃ,-,-,-,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,-,-,+,-,-,1
kʷʱ,-,+,+,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,-,+,1
ɡ͡p,+,+,+,+,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,0,-,1
ǀqʔ,+,-,+,+,0,-,+,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,-,1
pʼˤ,+,+,+,-,0,0,+,-,-,+,-,-,-,-,-,+,+,-,-,-,+,-,-,1
dʒʲ,-,-,-,+,0,-,+,-,-,-,-,-,-,-,+,0,-,-,+,-,+,+,-,1
ǂqʰ,-,-,+,+,0,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,+,-,-,1
qʼˤ,-,-,+,-,0,0,0,-,-,+,-,-,-,-,-,+,+,-,-,-,+,-,-,1
ʔǃn,+,-,+,+,0,-,-,-,-,-,-,-,+,-,+,+,+,-,-,-,+,-,-,1
